inn;region;okved;okved_group
1657270982;tatarstan;41.20;41
7719893081;moscow city;82.30;82
9717147564;moscow city;49.41;49
0275913615;bashkortostan;69.10;69
2901309447;arkhangelsk;41.20;41
1841050594;udmurtia;45.20;45
6454108260;saratov;43.21;43
2983998146;nenets ao;94.99;94
5503217859;omsk;69.20;69
5403078792;novosibirsk;70.22;70
0544014591;dagestan;69.10;69
7703442622;moscow city;68.10.22;68
1838010136;udmurtia;47.10;47
0547005010;dagestan;25.71;25
7813419538;sankt-petersburg;86.90.90;86
6234008743;ryazan;62;62
8603247210;khanty-mansijsk;81.30;81
2128056402;chuvashia;62.01;62
5038174140;moscow reg.;41.20;41
7811447106;sankt-petersburg;86.10;86
9102175260;crimea;93.12;93
2983014240;nenets ao;47.11;47
1838661184;udmurtia;94.99;94
4807056880;lipetzk;94.99;94
7724365930;moscow city;71.12.20;71
2352051138;krasnodar;52.22;52
4205423188;kemerovo;86.10;86
3920005502;kaliningrad;47.10;47
3123388050;belgorod;47.52;47
9001006918;zaporizhzhia;49.41;49
0721011305;kabardino-balkaria;43.99;43
2427000461;krasnoyarsk;01.10;01
7100021141;tula;56.30;56
8604001393;khanty-mansijsk;52.21.24;52
4329008018;kirov;68.20.20;68
6315624701;samara;42.11;42
9704145753;moscow city;41.20;41
6700008493;smolensk;71.20;71
2801265490;amur;71.12;71
2130215642;chuvashia;56.10.10;56
7017412260;tomsk;47.51.10;47
2512466969;primorsky terr.;52.24;52
7701313501;moscow city;58;58
4632253162;kursk;70.21;70
4007003223;kaluga;43.21;43
2628060365;stavropol;86.23;86
7104521427;tula;94.99;94
4429003447;kostroma;41.20;41
4205396738;kemerovo;41.20;41
2124041910;chuvashia;45.30;45
3801132798;irkutsk;94.99;94
6732178226;smolensk;25.11;25
7000003149;tomsk;42.11;42
2130221011;chuvashia;56.10;56
6009008887;pskov;41.20;41
6617011123;sverdlovsk;35.30.50;35
5603010015;orenburg;01.13;01
1514007119;north ossetia;47.59.90;47
3334022697;vladimir;56.10;56
4105040696;kamchatka;01.50;01
1684001026;tatarstan;69.20;69
4909128333;magadan;69.10;69
6829046128;tambov;41.20;41
7203430636;tyumen;56.10;56
6678097400;sverdlovsk;41.20;41
3257052729;bryansk;42.12;42
3257048592;bryansk;56.30;56
1001352688;karelia;73.11;73
6027049389;pskov;94.99;94
3913014633;kaliningrad;56.10;56
5503098175;omsk;71.11;71
6382060063;samara;52.29;52
1660340830;tatarstan;43.21;43
1500010954;north ossetia;73.11;73
6230054770;ryazan;43.29;43
3525475994;vologda;46.90;46
7020012092;tomsk;71.12.45;71
0276017065;bashkortostan;52.21.24;52
0268068027;bashkortostan;42.11;42
9704162981;moscow city;43.21;43
0274019902;bashkortostan;72.19;72
0500000873;dagestan;73.11;73
6509045929;sakhalin;08.12.10;08
5720025223;oryol;43.22;43
6501249600;sakhalin;45.30;45
1435291935;yakutia;69.20;69
7724847806;moscow city;47.62.20;47
9200017255;sevastopol;56.10;56
7017287604;tomsk;70.22;70
0800002568;kalmykia;68.20;68
3906315742;kaliningrad;46.73;46
4501054639;kurgan;25.11;25
1900000929;khakasia;42.21;42
7734416358;moscow city;45.31;45
3446501296;volgograd;52.21.24;52
5035027891;moscow reg.;45.20;45
0326543450;buryatia;43.29;43
7017271812;tomsk;25.11;25
7722830878;moscow city;68.20;68
0105060624;adygeya;56.10;56
3619004454;voronezh;84.11.30;84
1001243181;karelia;70.22;70
1655434628;tatarstan;86.90;86
6722028951;smolensk;01.50;01
4345481415;kirov;41.20;41
3441042810;volgograd;71.12.90;71
5504250048;omsk;41.20;41
3329097520;vladimir;45.20;45
5838011786;penza;68.31.12;68
6732212357;smolensk;25.61;25
2463072616;krasnoyarsk;70.22;70
4401147625;kostroma;71.11.10;71
9705194270;moscow city;82.99;82
7627030504;yaroslavl;93.29;93
6027999398;pskov;70.22;70
7810958080;sankt-petersburg;41.20;41
2116004992;nizhni novgorod;10.51;10
7536985377;zabaikalsk terr.;93.10;93
7313004849;ulyanovsk;56.10;56
0608006359;ingushetia;43.12;43
5251112950;nizhni novgorod;47.20;47
7106081154;tula;42.22;42
1644090809;tatarstan;73.11;73
2325009916;krasnodar;93.19;93
1101179194;komi;52.29;52
4205374558;kemerovo;70.22;70
9102044660;crimea;73.11;73
1901057460;khakasia;41.20;41
2983006024;nenets ao;41.20;41
3334023122;vladimir;93.19;93
1900011656;khakasia;86.21;86
0278979607;bashkortostan;41.20;41
9710090421;nizhni novgorod;73.11;73
4710030529;leningrad;94.99;94
8904071017;yamal-nenets ao;86.21;86
7446036455;chelyabinsk;93.19;93
1200016560;marij el;62.01;62
7802941781;sankt-petersburg;46.73.60;46
2543183921;primorsky terr.;68.20;68
5047211990;moscow reg.;41.10;41
4345475926;kirov;52.29;52
5053036240;moscow reg.;63.11.10;63
7014054136;tomsk;70.22;70
1001992374;karelia;94.99;94
7810457486;sankt-petersburg;86.23;86
5321086947;novgorod;71.11;71
1200012830;marij el;49.41;49
6450114182;saratov;49.41;49
2012009280;chechnya;46.73;46
0512009052;dagestan;55.90;55
5024175591;moscow reg.;85.11;85
9703002431;moscow city;43.34;43
0314888517;buryatia;94.99;94
3123335323;belgorod;42.11;42
2465362286;krasnoyarsk;47.11;47
5257187261;nizhni novgorod;73.11;73
3250531803;bryansk;86;86
6717003084;smolensk;01.11.10;01
4345405171;kirov;46.73.10;46
5610068418;orenburg;41.20;41
5074087686;moscow reg.;43.22;43
2536314235;primorsky terr.;46.71;46
9309018592;donetsk;86.21;86
4027130893;kaluga;71.12.10;71
2465286349;krasnoyarsk;25.10;25
7814607862;sankt-petersburg;69.20;69
3328021670;vladimir;45.20;45
