company_id,inn,okved2,okopf_id,period,scale,revenue_t,revenue_t_1,net_profit_t,net_profit_t_1,inventory_t,inventory_t_1,payables_t,payables_t_1,equity_t,equity_t_1,debt_t,debt_t_1,region,okved_section,margin,debt_ratio,inv_turnover,growth_rev
8906845,7719893081,82,12300,2022,1000,150166000.0,98202000.0,1327000.0,788000.0,13609000.0,16895000.0,19804000.0,71680000.0,2560000.0,1234000.0,68914000.0,114178000.0,МОСКВА,N,0.00883688717818947,26.91953125,11.034315526489824,0.529154192378974
8906845,7719893081,82,12300,2023,1000,189691000.0,150166000.0,1224000.0,1327000.0,46413000.0,13609000.0,73672000.0,19804000.0,1284000.0,2560000.0,14249000.0,68914000.0,МОСКВА,N,0.006452599227164178,11.097352024922118,4.087023032340078,0.263208715687972
8906845,7719893081,82,12300,2024,1000,157010000.0,189691000.0,8306000.0,1224000.0,159363000.0,46413000.0,504904000.0,73672000.0,9590000.0,1284000.0,14249000.0,14249000.0,МОСКВА,N,0.05290108910260493,1.4858185610010428,0.985234966711219,-0.17228545371156248
10493469,0275913615,69,12300,2022,1000,1055000.0,620000.0,-493000.0,16000.0,,,72000.0,159000.0,-373000.0,120000.0,429000.0,1000.0,БАШКОРТОСТАН,M,-0.46729857819905213,-1.1501340482573728,,0.7016129032258065
10493469,0275913615,69,12300,2023,1000,1727000.0,1055000.0,198000.0,-493000.0,,,74000.0,72000.0,-175000.0,-373000.0,316000.0,429000.0,БАШКОРТОСТАН,M,0.11464968152866242,-1.8057142857142856,,0.6369668246445498
10493469,0275913615,69,12300,2024,1000,3957000.0,1727000.0,706000.0,198000.0,,,97000.0,74000.0,561000.0,-175000.0,0,316000.0,БАШКОРТОСТАН,M,0.17841799342936568,0.0,,1.2912565141864505
9183463,1841050594,45,12300,2022,1000,56848000.0,53603000.0,906000.0,823000.0,13075000.0,14112000.0,20733000.0,21106000.0,3502000.0,2595000.0,1990000.0,2000.0,УДМУРТСКАЯ,G,0.015937236138474527,0.568246716162193,4.3478393881453155,0.06053765647445106
9183463,1841050594,45,12300,2023,1000,55949000.0,56848000.0,1187000.0,906000.0,10241000.0,13075000.0,25103000.0,20733000.0,4689000.0,3502000.0,4675000.0,1990000.0,УДМУРТСКАЯ,G,0.021215750058088616,0.9970142887609298,5.463236012108193,-0.015814100759921193
9183463,1841050594,45,12300,2024,1000,56468000.0,55949000.0,1299000.0,1187000.0,7211000.0,10241000.0,11646000.0,25103000.0,5988000.0,4689000.0,12400000.0,4675000.0,УДМУРТСКАЯ,G,0.023004179358220585,2.070808283233133,7.830814034114547,0.009276305206527374
9949333,6454108260,43,65000,2022,1000,6991000.0,1484000.0,131000.0,11000.0,2288000.0,1149000.0,3762000.0,1611000.0,219000.0,238000.0,48000.0,408000.0,САРАТОВСКАЯ,F,0.01873837791446145,0.2191780821917808,3.055506993006993,3.7109164420485174
9949333,6454108260,43,12300,2023,1000,25576000.0,6991000.0,119000.0,131000.0,2946000.0,2287000.0,4565000.0,3762000.0,154000.0,219000.0,42000.0,48000.0,САРАТОВСКАЯ,F,0.00465279949953081,0.2727272727272727,8.681602172437202,2.6584179659562293
9949333,6454108260,43,12300,2024,1000,33893000.0,25576000.0,174000.0,119000.0,18176000.0,2946000.0,26671000.0,4565000.0,335000.0,154000.0,60000.0,42000.0,САРАТОВСКАЯ,F,0.005133803440238397,0.1791044776119403,1.8647117077464788,0.3251876759461996
10558143,7703442622,68,12300,2024,1000,59867000.0,,36085000.0,,234774000.0,236036000.0,11470000.0,166885000.0,151174000.0,115089000.0,147258000.0,150000.0,МОСКВА,L,0.6027527686371457,0.9740960747218437,0.25499842401628803,
1955217,1838010136,47,12300,2022,1000,6904000.0,7121000.0,263000.0,433000.0,1604000.0,1309000.0,171000.0,98000.0,1564000.0,1401000.0,,,УДМУРТСКАЯ,G,0.03809385863267671,,4.304239401496259,-0.030473248139306276
1955217,1838010136,47,12300,2023,1000,7268000.0,6904000.0,249000.0,263000.0,1729000.0,1604000.0,143000.0,171000.0,1783000.0,1564000.0,,,УДМУРТСКАЯ,G,0.03425976884975234,,4.2035858877964145,0.05272305909617613
1955217,1838010136,47,12300,2024,1000,7226000.0,7268000.0,1000.0,249000.0,1840000.0,1729000.0,199000.0,143000.0,1784000.0,1783000.0,,,УДМУРТСКАЯ,G,0.0001383891502906172,,3.9271739130434784,-0.005778756191524491
2892226,7813419538,86,12300,2022,1000,620000.0,548000.0,198000.0,195000.0,,,315000.0,10000.0,940000.0,741000.0,,,САНКТ-ПЕТЕРБУРГ,Q,0.3193548387096774,,,0.13138686131386862
2892226,7813419538,86,12300,2023,1000,555000.0,620000.0,108000.0,198000.0,,,616000.0,315000.0,1048000.0,940000.0,,,САНКТ-ПЕТЕРБУРГ,Q,0.1945945945945946,,,-0.10483870967741936
2892226,7813419538,86,12300,2024,1000,685000.0,555000.0,12000.0,108000.0,,,56000.0,616000.0,1060000.0,1048000.0,,,САНКТ-ПЕТЕРБУРГ,Q,0.017518248175182483,,,0.23423423423423423
1331711,6234008743,62,12300,2022,1000,21499000.0,33868000.0,-1149000.0,151000.0,,,1129000.0,1279000.0,2725000.0,3907000.0,56000.0,77000.0,РЯЗАНСКАЯ,J,-0.053444346248662726,0.02055045871559633,,-0.36521199952757766
