company_id,detailsId,period,status,message
3504637,52815516,2024,ERROR,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='bo.nalog.gov.ru', port=443): Read timed out. (read timeout=60)""))"
9451392,48705264,2023,ERROR,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='bo.nalog.gov.ru', port=443): Read timed out. (read timeout=60)""))"
4444528,48345567,2023,ERROR,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='bo.nalog.gov.ru', port=443): Read timed out. (read timeout=60)""))"
3504637,52815516,2024,SKIP,parse_company_year returned None (missing key fields)
9451392,48705264,2023,OK,
4444528,48345567,2023,SKIP,parse_company_year returned None (missing key fields)
3504637,52815516,2024,SKIP,parse_company_year returned None (missing key fields)
9451392,48705264,2023,OK,
4444528,48345567,2023,SKIP,parse_company_year returned None (missing key fields)
3504637,52815516,2024,SKIP,parse_company_year returned None (missing key fields)
9451392,48705264,2023,ERROR,"NameError(""name 'rec_t' is not defined"")"
4444528,48345567,2023,SKIP,parse_company_year returned None (missing key fields)
3504637,52815516,2024,SKIP,parse_company_year returned None (missing key fields)
9451392,48705264,2023,ERROR,"NameError(""name 'rec_t' is not defined"")"
4444528,48345567,2023,SKIP,parse_company_year returned None (missing key fields)
3504637,52815516,2024,SKIP,parse_company_year returned None (missing key fields)
9451392,48705264,2023,OK,
4444528,48345567,2023,SKIP,parse_company_year returned None (missing key fields)
3504637,52815516,2024,OK,
9451392,48705264,2023,OK,
4444528,48345567,2023,OK,
3504637,52815516,2024,OK,
9451392,48705264,2023,OK,
4444528,48345567,2023,OK,
3504637,52815516,2024,OK,
9451392,48705264,2023,OK,
4444528,48345567,2023,OK,
3504637,52815516,2024,OK,
9451392,48705264,2023,OK,
4444528,48345567,2023,OK,
6681478,46432306,2022,OK,
6622458,51069644,2024,OK,
3504637,52815516,2024,OK,
9451392,48705264,2023,OK,
4444528,48345567,2023,OK,
6681478,46432306,2022,OK,
6622458,51069644,2024,OK,
3504637,52815516,2024,OK,
9451392,48705264,2023,OK,
4444528,48345567,2023,OK,
6681478,46432306,2022,OK,
6622458,51069644,2024,OK,
11702616,44216545,2022,OK,
11702616,48754800,2023,OK,
11702616,50746661,2024,OK,
11708239,45670161,2022,OK,
11702616,44216545,2022,OK,
11702616,48754800,2023,OK,
11702616,50746661,2024,OK,
11708239,45670161,2022,OK,
11708239,47249556,2023,OK,
11708239,51304922,2024,OK,
11711552,46035305,2022,OK,
11711552,48757266,2023,OK,
11711552,52919719,2024,OK,
11711555,45429541,2022,OK,
11711555,49014936,2023,OK,
11711555,51721573,2024,OK,
11712304,45961872,2022,OK,
11712304,48488637,2023,OK,
11712304,51225851,2024,OK,
11712552,46663156,2022,OK,
11712552,49574661,2023,OK,
11712552,52192500,2024,OK,
11713491,44231918,2022,OK,
11713491,47390056,2023,OK,
11713491,50345120,2024,OK,
11716369,44751101,2022,OK,
11716369,48036814,2023,OK,
11716369,50074498,2024,OK,
11719596,44091920,2022,OK,
11719596,49864444,2023,OK,
11719596,50331543,2024,OK,
11719589,44092467,2022,OK,
11719589,47633408,2023,OK,
11719589,51377427,2024,OK,
11722245,44139438,2022,OK,
11722245,47250069,2023,OK,
11722245,50207104,2024,OK,
11722990,46597587,2022,OK,
11722990,49930924,2023,OK,
11722990,52627902,2024,OK,
11733511,44296910,2022,OK,
11733511,47461440,2023,OK,
11733511,50581963,2024,OK,
11734362,46022648,2022,OK,
11734362,49268542,2023,OK,
11734362,52070629,2024,OK,
11734786,45216223,2022,OK,
11734786,48282682,2023,OK,
11734786,50998983,2024,OK,
11737647,44044330,2022,OK,
11737647,47463690,2023,OK,
11737647,50364360,2024,OK,
11739601,44695666,2022,OK,
11739601,48493323,2023,OK,
11739601,51487062,2024,OK,
11740173,45985448,2022,OK,
11740173,48586312,2023,OK,
11740173,51050057,2024,OK,
11740775,45595608,2022,OK,
11740775,49782470,2023,OK,
11740775,52625528,2024,OK,
11744807,46120311,2022,OK,
11744807,49053435,2023,OK,
11744807,51862523,2024,OK,
11749182,46515194,2022,OK,
11749182,49275578,2023,OK,
11749182,50292074,2024,OK,
11749224,45291566,2022,OK,
11749224,48189677,2023,OK,
11749224,51243173,2024,OK,
11750271,46431982,2022,OK,
11750271,49458287,2023,OK,
11750271,52698147,2024,OK,
11754104,45871761,2022,OK,
11754104,48014968,2023,OK,
11754104,52828368,2024,OK,
11754145,46217994,2022,OK,
11754145,49231030,2023,OK,
11754145,51026086,2024,OK,
11755910,44119588,2022,OK,
11755910,47371738,2023,OK,
11755910,52582229,2024,OK,
