inn;company_id;period;region;okved2;okopf_id;details_id
7719893081;8906845;2022;МОСКВА;82.30;12300;44456631
7719893081;8906845;2023;МОСКВА;82.30;12300;47523662
7719893081;8906845;2024;МОСКВА;82.30;12300;50786838
0275913615;10493469;2022;БАШКОРТОСТАН;69.10;12300;44552779
0275913615;10493469;2023;БАШКОРТОСТАН;69.10;12300;48003004
0275913615;10493469;2024;БАШКОРТОСТАН;69.10;12300;52451669
1841050594;9183463;2022;УДМУРТСКАЯ;45.20;12300;46073846
1841050594;9183463;2023;УДМУРТСКАЯ;45.20;12300;49527456
1841050594;9183463;2024;УДМУРТСКАЯ;45.20;12300;52336429
6454108260;9949333;2022;САРАТОВСКАЯ;43.21;12300;46185400
6454108260;9949333;2023;САРАТОВСКАЯ;43.21;12300;49341353
6454108260;9949333;2024;САРАТОВСКАЯ;43.21;12300;52184017
5503217859;108455;2022;ОМСКАЯ;69.20;12300;45637091
5503217859;108455;2023;ОМСКАЯ;69.20;12300;49629480
5503217859;108455;2024;ОМСКАЯ;69.20;12300;52623024
7703442622;10558143;2022;МОСКВА;68.10.22;12300;44911047
7703442622;10558143;2023;МОСКВА;68.10.22;12300;47954719
7703442622;10558143;2024;МОСКВА;68.10.22;12300;51859798
1838010136;1955217;2022;УДМУРТСКАЯ;47.1;12300;44420819
1838010136;1955217;2023;УДМУРТСКАЯ;47.1;12300;47454789
1838010136;1955217;2024;УДМУРТСКАЯ;47.1;12300;50455795
7813419538;2892226;2022;САНКТ-ПЕТЕРБУРГ;86.90.9;12300;45899947
7813419538;2892226;2023;САНКТ-ПЕТЕРБУРГ;86.90.9;12300;48079196
7813419538;2892226;2024;САНКТ-ПЕТЕРБУРГ;86.90.9;12300;50913928
6234008743;1331711;2022;РЯЗАНСКАЯ;62.0;12300;45008149
6234008743;1331711;2023;РЯЗАНСКАЯ;62.0;12300;48462120
6234008743;1331711;2024;РЯЗАНСКАЯ;62.0;12300;51615860
7724365930;9769498;2022;МОСКВА;71.12.2;12300;45861972
7724365930;9769498;2023;МОСКВА;71.12.2;12300;48218992
7724365930;9769498;2024;МОСКВА;71.12.2;12300;51233450
2352051138;9001815;2022;КРАСНОДАРСКИЙ;52.22;12300;47147713
2352051138;9001815;2023;КРАСНОДАРСКИЙ;52.22;12300;49484183
